2025-10-27 22:47:23 | INFO     | root | Logging initialized. Log file: C:\Users\konrad_guest\Documents\GitHub\pmarlo\example_programs\app_usecase\app_outputs\app_logs\app_log_20251027_224723.log
2025-10-27 22:47:23 | INFO     | root | App directory: C:\Users\konrad_guest\Documents\GitHub\pmarlo\example_programs\app_usecase\app
2025-10-27 22:47:33 | INFO     | pmarlo | Loaded shard 0 (T300K_seg0000_rep000.json): raw shape=(1000, 2)
2025-10-27 22:47:33 | INFO     | pmarlo | Loaded shard 1 (T300K_seg0001_rep000.json): raw shape=(1000, 2)
2025-10-27 22:47:33 | INFO     | pmarlo | Loaded shard 2 (T300K_seg0001_rep000.json): raw shape=(1000, 2)
2025-10-27 22:47:33 | INFO     | pmarlo | Loaded shard 3 (T300K_seg0002_rep000.json): raw shape=(1000, 2)
2025-10-27 22:47:33 | INFO     | pmarlo | Loaded shard 4 (T300K_seg0001_rep000.json): raw shape=(1000, 2)
2025-10-27 22:47:33 | INFO     | pmarlo | Loaded shard 5 (T300K_seg0002_rep000.json): raw shape=(1000, 2)
2025-10-27 22:47:33 | INFO     | pmarlo | Loaded shard 6 (T300K_seg0000_rep000.json): raw shape=(1000, 2)
2025-10-27 22:47:33 | INFO     | pmarlo | Loaded shard 7 (T300K_seg0001_rep000.json): raw shape=(1000, 2)
2025-10-27 22:47:33 | INFO     | pmarlo | Loaded shard 8 (T300K_seg0000_rep000.json): raw shape=(1000, 2)
2025-10-27 22:47:33 | INFO     | pmarlo | Loaded shard 9 (T300K_seg0001_rep000.json): raw shape=(1000, 2)
2025-10-27 22:47:33 | INFO     | pmarlo | Loaded shard 10 (T300K_seg0002_rep000.json): raw shape=(1000, 2)
2025-10-27 22:47:33 | INFO     | pmarlo | Loaded shard 11 (T300K_seg0003_rep000.json): raw shape=(1000, 2)
2025-10-27 22:47:33 | INFO     | pmarlo | Loaded shard 12 (T300K_seg0000_rep000.json): raw shape=(1000, 2)
2025-10-27 22:47:33 | INFO     | pmarlo | Loaded shard 13 (T300K_seg0001_rep000.json): raw shape=(1000, 2)
2025-10-27 22:47:33 | INFO     | pmarlo | Loaded shard 14 (T300K_seg0002_rep000.json): raw shape=(1000, 2)
2025-10-27 22:47:33 | INFO     | pmarlo | Featurized all shards: concatenated shape=(15000, 2)
2025-10-27 22:47:33 | INFO     | backend | [ITS] Loaded 15000 frames with 2 features from 15 shard files
2025-10-27 22:47:33 | INFO     | backend | [ITS] Applying TICA reduction (lag=10, components=2)
2025-10-27 22:47:33 | INFO     | pmarlo | Starting clustering with kmeans algorithm: 200 states, 15000 samples, 2 features
2025-10-27 22:47:34 | INFO     | pmarlo | Clustering completed: requested=200, actual=200
2025-10-27 22:47:34 | INFO     | backend | [ITS] Clustered trajectories into 200 states (requested 200)
2025-10-27 22:47:34 | INFO     | backend | [ITS] Estimating MSM at lag=1
2025-10-27 22:47:34 | INFO     | backend | [ITS] Estimating MSM at lag=5
2025-10-27 22:47:34 | INFO     | backend | [ITS] Estimating MSM at lag=10
2025-10-27 22:47:34 | INFO     | backend | [ITS] Estimating MSM at lag=50
2025-10-27 22:47:34 | WARNING  | C:\Users\konrad_guest\AppData\Local\Programs\Python\Python313\Lib\site-packages\deeptime\markov\msm\_maximum_likelihood_msm.py | Skipping state set [41] due to error in estimation: Some row and corresponding column of the count matrix C have zero counts..
2025-10-27 22:47:34 | WARNING  | C:\Users\konrad_guest\AppData\Local\Programs\Python\Python313\Lib\site-packages\deeptime\markov\msm\_maximum_likelihood_msm.py | Skipping state set [114] due to error in estimation: Some row and corresponding column of the count matrix C have zero counts..
2025-10-27 22:47:34 | INFO     | backend | [ITS] Estimating MSM at lag=100
2025-10-27 22:47:34 | WARNING  | C:\Users\konrad_guest\AppData\Local\Programs\Python\Python313\Lib\site-packages\deeptime\markov\msm\_maximum_likelihood_msm.py | Skipping state set [41] due to error in estimation: Some row and corresponding column of the count matrix C have zero counts..
2025-10-27 22:47:34 | WARNING  | C:\Users\konrad_guest\AppData\Local\Programs\Python\Python313\Lib\site-packages\deeptime\markov\msm\_maximum_likelihood_msm.py | Skipping state set [110] due to error in estimation: Some row and corresponding column of the count matrix C have zero counts..
2025-10-27 22:47:34 | WARNING  | C:\Users\konrad_guest\AppData\Local\Programs\Python\Python313\Lib\site-packages\deeptime\markov\msm\_maximum_likelihood_msm.py | Skipping state set [114] due to error in estimation: Some row and corresponding column of the count matrix C have zero counts..
2025-10-27 22:47:34 | INFO     | backend | [ITS] Estimating MSM at lag=200
2025-10-27 22:47:34 | WARNING  | C:\Users\konrad_guest\AppData\Local\Programs\Python\Python313\Lib\site-packages\deeptime\markov\msm\_maximum_likelihood_msm.py | Skipping state set [41] due to error in estimation: Some row and corresponding column of the count matrix C have zero counts..
2025-10-27 22:47:34 | WARNING  | C:\Users\konrad_guest\AppData\Local\Programs\Python\Python313\Lib\site-packages\deeptime\markov\msm\_maximum_likelihood_msm.py | Skipping state set [110] due to error in estimation: Some row and corresponding column of the count matrix C have zero counts..
2025-10-27 22:47:34 | WARNING  | C:\Users\konrad_guest\AppData\Local\Programs\Python\Python313\Lib\site-packages\deeptime\markov\msm\_maximum_likelihood_msm.py | Skipping state set [114] due to error in estimation: Some row and corresponding column of the count matrix C have zero counts..
