trigger,data_policy,training_policy,kl_ref_to_est_mean,kl_ref_to_est_std,coverage_mean,coverage_std,retrain_count_mean,retrain_count_std,train_equivalent_frames_mean,train_equivalent_frames_std,marginal_gain_sum_mean,marginal_gain_sum_std,test_vamp2_mean,test_vamp2_std,final_validation_vamp2_mean,final_validation_vamp2_std,final_epochs_run_mean,final_epochs_run_std
Fixed-T,Reweighted-Window,Fixed-50ep,0.3316686311335847,0.3265570907855011,0.32513020833333334,0.030253842867951124,4.0,0.0,15258.320786847957,626.5271120139344,4.3602701734717596e-05,1.2814362296648966e-05,0.3705914798391108,0.22869442013268415,0.14771554812898433,0.08618818988487383,50.0,0.0
Fixed-T,Reweighted-Window,Fixed-200ep,0.3342817569509264,0.3242283412678144,0.32734375,0.03311328231162301,4.0,0.0,61837.50007945844,3167.852766485841,1.0868523456296588e-05,2.356234938319866e-06,0.465172119099587,0.24101180503142633,0.248421525692701,0.1407715493922214,200.0,0.0
ADWIN,Reweighted-Window,Fixed-50ep,0.41576566686078315,0.37445112703710515,0.33155381944444445,0.0384328812888134,0.0,0.0,1788.8211508067957,317.2773905746824,0.0,0.0,0.49012730662509235,0.3061696694312833,0.19794906880118698,0.15071747844822736,50.0,0.0
Threshold-delta,Full,Fixed-50ep,0.4418973749483882,0.3650949989415812,0.3131076388888889,0.03257952803971859,1.4,0.8432740427115678,7336.889337262799,5131.83134895221,1.742336896558074e-05,1.4683928492466706e-05,0.4796648125955036,0.24712237373740978,0.10326589769216998,0.09609914262538641,50.0,0.0
Threshold-delta,Window-W,Fixed-50ep,0.47944836212811276,0.4209909364252224,0.3223524305555555,0.037205658406667605,1.6,1.3498971154211057,5903.775899650042,3696.6659100111106,1.8822411388262154e-05,1.2954847089193615e-05,0.40922169363572997,0.2512729938967756,0.1398422239776434,0.12220666328710847,50.0,0.0
Fixed-T,Reweighted-Full,EarlyStopping,0.47971825350199604,0.4047427080143617,0.31940104166666666,0.03698922355892069,4.0,0.0,272.6012710528622,45.55029204613429,0.0029728015716429467,0.0009739725222478355,0.3724860572208115,0.19763442121691224,0.3750575362582437,0.24434971913969522,1.0,0.0
ADWIN,Reweighted-Full,Fixed-50ep,0.48549032026395167,0.40408292783263894,0.31436631944444443,0.03282074702234562,0.0,0.0,1723.0296561550458,150.5328399109574,0.0,0.0,0.5670993425724781,0.261230488820463,0.17234055028002035,0.17864218590183567,50.0,0.0
ADWIN,Window-W,EarlyStopping,0.4859741246055992,0.41218128678287186,0.31918402777777777,0.03771754386410391,0.1,0.31622776601683794,48.38309426120084,23.270181138653435,0.00034719718163586053,0.0010979338911605047,0.35400849729288686,0.17153542736092653,0.3463342168818012,0.3006700187402096,1.0,0.0
ADWIN,Window-W,Fixed-200ep,0.4863020083696375,0.4115116897015406,0.30546875,0.02450350663663114,0.0,0.0,6679.504762943635,866.3858841195589,0.0,0.0,0.4226010307952876,0.23277661326874718,0.22473277689832755,0.12363959553455568,200.0,0.0
Fixed-T,Window-W,EarlyStopping,0.486991592208053,0.41130152772035156,0.32178819444444445,0.035964235298920864,4.0,0.0,214.45113145912143,38.32009387491183,0.0033258838726049943,0.0009958024829899933,0.3674426357598482,0.17996761631642763,0.24690029632293803,0.11696052622201092,1.0,0.0
Threshold-delta,Reweighted-Full,EarlyStopping,0.4902734647419388,0.4048339757013444,0.3131076388888889,0.03408719558048168,1.7,1.1595018087284057,112.0173018410806,46.634811253169936,0.00234192826707523,0.0013009435912220368,0.36170361530448303,0.20089843384924683,0.3770025180836828,0.3965827659376766,1.0,0.0
Threshold-delta,Full,EarlyStopping,0.49610357653883935,0.40579713362906156,0.3185763888888889,0.036140034712953704,1.7,0.6749485577105528,110.67788470887497,27.49721419656889,0.0019088962697414568,0.0010177134390748038,0.4703079993662497,0.2674241170154393,0.13315638602604565,0.07606004493431612,1.0,0.0
