trigger,data_policy,training_policy,replica,budget_frames,kl_ref_to_collection_reweighted,kl_ref_to_final_reweighted,kl_ref_to_raw,coverage_xy,retrain_count,transition_count,unique_transition_count,first_A_to_B,first_A_to_C,total_train_seconds,final_train_vamp2,final_validation_vamp2,final_epochs_run,test_vamp2,monitor_vamp2_mean,monitor_vamp2_std,final_hill_count,on_retrain_policy
Fixed-T,Window-W,Fixed-50ep,0,6000,4.467594007634681,4.469351510425135,4.475954495500942,0.04046875,3,0,0,,,0.0439093929990122,0.9574908562516756,0.9751696758151254,10,0.9660484061890674,0.9632014187755844,0.013678708248934785,12,reproject_centers
Fixed-T,Window-W,EarlyStopping,0,6000,5.477697646531761,5.479402451051177,5.490594330737205,0.025,3,0,0,,,0.005127131999870471,0.9667058955513689,0.9552294250012371,1,0.974761870007653,0.9642759247781912,0.007821479465862426,12,reproject_centers
Fixed-T,Reweighted-Window,Fixed-50ep,0,6000,4.651280971020359,4.65212276508501,4.668284617788975,0.0321875,3,0,0,,,0.04623785300009331,0.9776211808937514,0.9527418326047622,10,0.9627687135752531,0.9651002189059295,0.010027433655729182,12,reproject_centers
Fixed-T,Reweighted-Window,EarlyStopping,0,6000,4.214452694314486,4.214878911120833,4.229346048193634,0.04828125,3,0,0,,,0.0040195300007326296,0.9639939618847789,0.977274603949284,1,0.9613710853289094,0.9715440108023911,0.004619494787537859,12,reproject_centers
ADWIN,Window-W,Fixed-50ep,0,6000,5.611732418971325,5.61641772086363,5.63068439201645,0.0253125,0,0,0,,,0.008723361000193108,0.966067881301024,0.9432930220134434,10,0.9732383986278889,0.9658524213091931,0.006687340886832059,12,reproject_centers
ADWIN,Window-W,EarlyStopping,0,6000,5.274054055785234,5.276444928988809,5.2837261694241455,0.03203125,0,0,0,,,0.0015267870003299322,0.9601743531910085,0.955127639852487,1,0.9740229608327194,0.9640591055368875,0.007592468871525324,12,reproject_centers
ADWIN,Reweighted-Window,Fixed-50ep,0,6000,4.805974398045661,4.807596651374091,4.818003303405117,0.03125,0,0,0,,,0.010527747000196541,0.950214684989964,0.9623779879095935,10,0.9609818696048438,0.9650127564593474,0.005456769702917297,12,reproject_centers
ADWIN,Reweighted-Window,EarlyStopping,0,6000,5.438024254243774,5.439786990405152,5.456278190588472,0.02703125,0,0,0,,,0.0016892570001800777,0.9710812786635177,0.9680354061879325,1,0.9655060483039175,0.9653651321479625,0.00646324149198817,12,reproject_centers
Fixed-T,Window-W,Fixed-50ep,1,6000,4.505122153555202,4.506169568352778,4.52213880383502,0.03921875,3,0,0,,,0.03662409399930766,0.9665445649140652,0.9800279012855733,10,0.9706252185426282,0.9646566676425014,0.007466855302241391,12,reproject_centers
Fixed-T,Window-W,EarlyStopping,1,6000,5.330002591995369,5.331597257510217,5.343858414168583,0.02609375,3,0,0,,,0.0038711700017302064,0.95747344743195,0.982232762091793,1,0.9608979921959979,0.9658659493110433,0.006730711273465657,12,reproject_centers
Fixed-T,Reweighted-Window,Fixed-50ep,1,6000,4.53704076880347,4.538855514111834,4.547846582062719,0.03453125,3,0,0,,,0.037996867000401835,0.9647656975314226,0.9717048455838604,10,0.9584157978664674,0.9623829141666379,0.018039515605871664,12,reproject_centers
Fixed-T,Reweighted-Window,EarlyStopping,1,6000,5.851956817189463,5.858686818219442,5.877367580207618,0.02640625,3,0,0,,,0.004890859999250097,0.9696996815106576,0.9355809788332243,1,0.9637660496825061,0.9581900203674335,0.011370177840727231,12,reproject_centers
ADWIN,Window-W,Fixed-50ep,1,6000,4.67440688066797,4.676082253582426,4.6883660197484165,0.031875,0,0,0,,,0.012585381000462803,0.9626335052843488,0.9757122139674053,10,0.9708016923847188,0.9612902992295235,0.008034109687960264,12,reproject_centers
ADWIN,Window-W,EarlyStopping,1,6000,5.515772121942071,5.518924148698488,5.534603944263125,0.0253125,0,0,0,,,0.0011152830002174596,0.9686147731705491,0.9667987208909878,1,0.9622851562439622,0.9571242927131725,0.013477895002024143,12,reproject_centers
ADWIN,Reweighted-Window,Fixed-50ep,1,6000,5.184333797362115,5.187583294816507,5.199557049166492,0.02796875,0,0,0,,,0.008955244999924616,0.9636768863040853,0.9809972992697477,10,0.9559362604804421,0.9624690578539875,0.01077098967511482,12,reproject_centers
ADWIN,Reweighted-Window,EarlyStopping,1,6000,5.969493274046794,5.973575132761162,5.9849669230339355,0.02671875,0,0,0,,,0.0010801309999806108,0.9574184440935705,0.9458880930600218,1,0.9731313636899427,0.9586042839801596,0.012650690044008551,12,reproject_centers
